Depth [m],Temp. [deg C],Sal. [ ],Cond. [mS/cm],EC25 [uS/cm],Density [kg/m^3],SigmaT [ ],Chl-Flu. [ppb],Chl-a [ug/l],Turb-M [FTU],DO [%],Weiss-DO [mg/l],Batt. [V],G&G-DO [mg/l],B&K-DO [mg/l],
16.800,17.840,29.778,39.583,46983.953,1021.388,21.315,5.19,5.19,141.67,74.68,5.900,8.16,5.911,5.911,
16.900,17.840,29.778,39.584,46984.857,1021.389,21.316,5.22,5.22,139.86,73.78,5.827,8.15,5.838,5.838,
17.000,17.840,29.779,39.585,46985.553,1021.390,21.316,5.25,5.25,139.82,77.50,6.122,8.15,6.134,6.134,
17.100,17.842,29.780,39.588,46987.533,1021.391,21.317,5.11,5.11,137.94,77.92,6.155,8.15,6.166,6.166,
17.200,17.840,29.781,39.586,46988.228,1021.392,21.317,5.06,5.06,137.52,82.77,6.541,8.15,6.553,6.553,
17.300,17.840,29.773,39.577,46977.088,1021.386,21.311,5.06,5.06,137.24,73.13,5.781,8.14,5.791,5.791,
17.400,17.840,29.784,39.591,46993.589,1021.396,21.320,5.24,5.24,140.53,75.85,5.994,8.15,6.005,6.005,
17.500,17.838,29.790,39.596,47002.092,1021.401,21.325,5.38,5.38,142.10,81.60,6.449,8.14,6.461,6.461,
17.600,17.835,29.804,39.610,47021.803,1021.412,21.336,5.30,5.30,148.78,79.53,6.283,8.15,6.294,6.294,
17.700,17.839,29.812,39.624,47033.145,1021.418,21.342,5.46,5.46,149.09,71.98,5.682,8.15,5.692,5.692,
17.800,17.837,29.807,39.615,47026.674,1021.416,21.338,5.74,5.74,153.52,71.76,5.661,8.14,5.672,5.672,
17.900,17.837,29.802,39.610,47020.024,1021.412,21.335,5.75,5.75,152.38,75.73,5.974,8.15,5.985,5.985,
